"$5 Cover" 	35.1490215 -90.0516285
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.1816482 -118.3258554
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.1816482 -118.3258554
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.1816482 -118.3258554
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.1816482 -118.3258554
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.1816482 -118.3258554
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
