"1922" 	-28.8166236 24.991639
"1984 Presidential Debates" 	38.2542376 -85.759407
"1984 Presidential Debates" 	39.0979007 -94.58640034136957
"1984 World Series" 	32.7174209 -117.1627714
"1984 World Series" 	42.3315509 -83.0466403
"1st & Ten" 	34.0536909 -118.2427666
"30 minuts" 	41.3828939 2.1774322
"30 minuts" 	41.3759426 2.1678212
"30 minuts" 	41.391002 2.155619
"30 minuts" 	54.7023545 -3.2765753
"30 minuts" 	41.3828939 2.1774322
"30 minuts" 	39.3262345 -4.8380649
"30 minuts" 	41.38185465 2.162333907608696
"A Vez e a Voz" 	38.7077507 -9.1365919
"A Woman of Substance" 	51.499185749999995 -0.16292654872706636
"A Woman of Substance" 	54.666667 -1.75
"A Woman of Substance" 	54.091592750000004 -1.535911258050148
"A Woman of Substance" 	54.286721 -1.8049483
"A Woman of Substance" 	51.5071842 -0.14142514195162625
"A Woman of Substance" 	51.5212936 -0.161461
"A Woman of Substance" 	54.091592750000004 -1.535911258050148
"A Woman of Substance" 	54.4037198 -1.7390956
"A Woman of Substance" 	54.4037415 -1.741018
"A Woman of Substance" 	54.4034776 -1.7331508045709254
"A Woman of Substance" 	54.091592750000004 -1.535911258050148
"A Woman of Substance" 	54.091592750000004 -1.535911258050148
"A Woman of Substance" 	54.091592750000004 -1.535911258050148
"A Woman of Substance" 	54.091592750000004 -1.535911258050148
"A Woman of Substance" 	54.7023545 -3.2765753
"A Woman of Substance" 	54.091592750000004 -1.535911258050148
"A Woman of Substance" 	54.091592750000004 -1.535911258050148
"A Woman of Substance" 	51.5071842 -0.14142514195162625
"A Woman of Substance" 	54.091592750000004 -1.535911258050148
"ARD Wunschkonzert" 	52.3744779 9.7385532
"ARD Wunschkonzert" 	50.320174449999996 11.902923005218838
"ARD Wunschkonzert" 	50.7845975 8.1208181
"Airwolf" 	36.9820026 -110.1108327
"Airwolf" 	34.17142715 -118.91058772974445
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	40.7143227 -112.1045506
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.0536909 -118.2427666
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1153986 -118.7565768
"Airwolf" 	34.1077371 -118.75450598677298
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	36.9225615 -121.8517849
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	38.7315573 -109.56302781715105
"Airwolf" 	34.6981064 -118.1366153
"Airwolf" 	34.6981064 -118.1366153
"Airwolf" 	34.5793131 -118.1171108
"Airwolf" 	34.3916641 -118.542586
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1939018 -118.4989503
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1153986 -118.7565768
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1732529 -118.3309154
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.3988838 -119.5184564
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	35.3088502 -117.9684031
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1848815 -118.575941
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	33.7131763 -115.4003235
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.0536909 -118.2427666
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.0745997 -118.0534304
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.0536909 -118.2427666
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	39.7837304 -100.4458825
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Airwolf" 	34.1412926 -118.3584364
"Alegr�a de mediod�a" 	19.4326296 -99.1331785
"Algo m�s que so�ar" 	23.0131338 -80.8328748
"Algo m�s que so�ar" 	23.135305 -82.3589631
"Algo m�s que so�ar" 	23.0131338 -80.8328748
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Alguien como usted" 	-34.9964963 -64.9672817
"Almost Live!" 	47.6038321 -122.3300624
"Amazon" 	-4.479925 -63.5185396
"Amazon" 	-1.45056 -48.4682453
"Amazon" 	-3.1316333 -59.9825041
"Amazon" 	-10.3333333 -53.2
"Amazon" 	-12.0621065 -77.0365256
"Amazon" 	-9.2983713 -76.0003034
