"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
